Court,Year,Metric,Value,Unit
Court of Appeal,2022,Filings,75,
Court of Appeal,2022,Disposals,74,
Court of Appeal,2022,ClearanceRate,99,%
Court of Appeal,2022,Pending,26,
Court of Appeal,2022,PDR,0.33,
Court of Appeal,2022,PendingAge,0,%
Court of Appeal,2022,TimelinessCriminal,100,days
Court of Appeal,2022,TimelinessCivil,150,days
Court of Appeal,2022,ReservedJudgments,0,
Supreme Court,2022,Filings,820,
Supreme Court,2022,Disposals,810,
Supreme Court,2022,ClearanceRate,99,%
Supreme Court,2022,Pending,920,
Supreme Court,2022,PDR,1.1,
Supreme Court,2022,PendingAge,23,%
Supreme Court,2022,TimelinessCriminal,190,days
Supreme Court,2022,TimelinessCivil,480,days
Supreme Court,2022,AttendanceCriminal,4,%
Supreme Court,2022,AttendanceCivil,5.5,%
Supreme Court,2022,AttendanceEnforcement,8,%
Supreme Court,2022,Productivity,113,
Supreme Court,2022,ReservedJudgments,52,
Magistrates Court,2022,Filings,2100,
Magistrates Court,2022,Disposals,1950,
Magistrates Court,2022,ClearanceRate,93,%
Magistrates Court,2022,Pending,1300,
Magistrates Court,2022,PDR,0.67,
Magistrates Court,2022,PendingAge,22,%
Magistrates Court,2022,TimelinessCriminal,140,days
Magistrates Court,2022,TimelinessCivil,280,days
Magistrates Court,2022,AttendanceCriminal,3.1,%
Magistrates Court,2022,AttendanceCivil,5.7,%
Magistrates Court,2022,AttendanceEnforcement,9,%
Magistrates Court,2022,Productivity,290,
Magistrates Court,2022,ReservedJudgments,16,
Island Court,2022,Filings,420,
Island Court,2022,Disposals,430,
Island Court,2022,ClearanceRate,102,%
Island Court,2022,Pending,630,
Island Court,2022,PDR,1.65,
Island Court,2022,PendingAge,58,%
Island Court,2022,TimelinessCriminal,360,days
Island Court,2022,TimelinessCivil,460,days
Supreme Court,2022,Gender_Male,61,%
Supreme Court,2022,Gender_Female,39,%
Magistrates Court,2022,Gender_Male,66,%
Magistrates Court,2022,Gender_Female,34,%
Court of Appeal,2022,Civil_Guilty,29,%
Court of Appeal,2022,Civil_NotGuilty,0,%
Court of Appeal,2022,Civil_Withdrawn,11,%
Court of Appeal,2022,Civil_Committed,0,%
Court of Appeal,2022,Civil_Dismissed,60,%
Supreme Court,2022,Criminal_Guilty,87,%
Supreme Court,2022,Criminal_NotGuilty,6,%
Supreme Court,2022,Criminal_Withdrawn,7,%
Supreme Court,2022,Criminal_Committed,0,%
Supreme Court,2022,Criminal_Dismissed,0,%
Magistrates Court,2022,Criminal_Guilty,69,%
Magistrates Court,2022,Criminal_NotGuilty,1,%
